Date,Value_exc_vat,Price,Consumption
2024-02-01 00:00:00+00:00,9.22,9.681,1.026
2024-01-31 23:30:00+00:00,9.45,9.9225,0.855
2024-01-31 23:00:00+00:00,7.56,7.938,0.164
2024-01-31 22:30:00+00:00,12.77,13.4085,0.175
2024-01-31 22:00:00+00:00,12.08,12.684,0.164
2024-01-31 21:30:00+00:00,13.31,13.9755,0.186
2024-01-31 21:00:00+00:00,13.12,13.776,0.198
2024-01-31 20:30:00+00:00,13.31,13.9755,0.199
2024-01-31 20:00:00+00:00,14.34,15.057,0.246
2024-01-31 19:30:00+00:00,14.07,14.7735,0.718
2024-01-31 19:00:00+00:00,27.33,28.6965,0.614
2024-01-31 18:30:00+00:00,28.38,29.799,0.68
2024-01-31 18:00:00+00:00,28.8,30.24,1.187
2024-01-31 17:30:00+00:00,28.06,29.463,0.733
2024-01-31 17:00:00+00:00,29.22,30.681,0.928
2024-01-31 16:30:00+00:00,26.62,27.951,1.799
2024-01-31 16:00:00+00:00,13.42,14.091,1.953
2024-01-31 15:30:00+00:00,12.28,12.894,1.637
2024-01-31 15:00:00+00:00,12.6,13.23,1.096
2024-01-31 14:30:00+00:00,13.31,13.9755,1.185
2024-01-31 14:00:00+00:00,11.88,12.474,1.042
2024-01-31 13:30:00+00:00,12.56,13.188,0.893
2024-01-31 13:00:00+00:00,12.7,13.335,1.313
2024-01-31 12:30:00+00:00,13.31,13.9755,0.757
2024-01-31 12:00:00+00:00,13.44,14.112,0.775
2024-01-31 11:30:00+00:00,11.76,12.348,1.348
2024-01-31 11:00:00+00:00,13.31,13.9755,1.35
2024-01-31 10:30:00+00:00,13.78,14.469,0.21
2024-01-31 10:00:00+00:00,15.12,15.876,0.146
2024-01-31 09:30:00+00:00,15.32,16.086,0.107
2024-01-31 09:00:00+00:00,16.46,17.283,0.13
2024-01-31 08:30:00+00:00,16.38,17.199,0.125
2024-01-31 08:00:00+00:00,16.53,17.3565,0.351
2024-01-31 07:30:00+00:00,15.25,16.0125,0.102
2024-01-31 07:00:00+00:00,13.44,14.112,0.109
2024-01-31 06:30:00+00:00,12.6,13.23,0.121
2024-01-31 06:00:00+00:00,11.55,12.1275,0.098
2024-01-31 05:30:00+00:00,11.55,12.1275,0.104
2024-01-31 05:00:00+00:00,11.68,12.264,0.094
2024-01-31 04:30:00+00:00,12.22,12.831,0.094
2024-01-31 04:00:00+00:00,12.08,12.684,0.119
2024-01-31 03:30:00+00:00,12.35,12.9675,0.13
2024-01-31 03:00:00+00:00,12.18,12.789,0.17
2024-01-31 02:30:00+00:00,13.1,13.755,0.173
2024-01-31 02:00:00+00:00,12.77,13.4085,0.756
2024-01-31 01:30:00+00:00,14.99,15.7395,0.184
2024-01-31 01:00:00+00:00,14.11,14.8155,0.208
2024-01-31 00:30:00+00:00,13.23,13.8915,0.19
2024-01-31 00:00:00+00:00,13.92,14.616,0.213
2024-01-30 23:30:00+00:00,13.65,14.3325,0.605
2024-01-30 23:00:00+00:00,11.91,12.5055,0.222
2024-01-30 22:30:00+00:00,13.25,13.9125,0.179
2024-01-30 22:00:00+00:00,13.25,13.9125,0.188
2024-01-30 21:30:00+00:00,17.01,17.8605,0.176
2024-01-30 21:00:00+00:00,14.28,14.994,0.591
2024-01-30 20:30:00+00:00,16.8,17.64,0.422
2024-01-30 20:00:00+00:00,15.79,16.5795,0.355
2024-01-30 19:30:00+00:00,18.21,19.1205,0.453
2024-01-30 19:00:00+00:00,30.14,31.647,0.84
2024-01-30 18:30:00+00:00,30.82,32.361,0.943
2024-01-30 18:00:00+00:00,29.64,31.122,0.466
2024-01-30 17:30:00+00:00,28.95,30.3975,0.214
2024-01-30 17:00:00+00:00,29.94,31.437,0.21
2024-01-30 16:30:00+00:00,27.24,28.602,0.417
2024-01-30 16:00:00+00:00,15.79,16.5795,0.643
2024-01-30 15:30:00+00:00,13.86,14.553,0.133
2024-01-30 15:00:00+00:00,14.7,15.435,0.148
2024-01-30 14:30:00+00:00,14.22,14.931,0.154
2024-01-30 14:00:00+00:00,13.44,14.112,0.144
2024-01-30 13:30:00+00:00,13.65,14.3325,0.738
2024-01-30 13:00:00+00:00,12.37,12.9885,1.115
2024-01-30 12:30:00+00:00,12.6,13.23,0.292
2024-01-30 12:00:00+00:00,13.5,14.175,0.113
2024-01-30 11:30:00+00:00,13.38,14.049,0.116
2024-01-30 11:00:00+00:00,13.86,14.553,0.105
2024-01-30 10:30:00+00:00,13.88,14.574,0.106
2024-01-30 10:00:00+00:00,15.46,16.233,0.106
2024-01-30 09:30:00+00:00,15.46,16.233,0.139
2024-01-30 09:00:00+00:00,17.72,18.606,0.167
2024-01-30 08:30:00+00:00,14.7,15.435,0.191
2024-01-30 08:00:00+00:00,17.64,18.522,0.155
2024-01-30 07:30:00+00:00,14.7,15.435,0.131
2024-01-30 07:00:00+00:00,14.07,14.7735,0.144
2024-01-30 06:30:00+00:00,15.33,16.0965,0.149
